timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1728676067633,73,HTTP Request,200,OK,Thread Group 1-1,text,true,,481,115,1,1,http://httpbin.io/get,73,0,42
1728676068134,52,HTTP Request,200,OK,Thread Group 1-2,text,true,,481,115,1,1,http://httpbin.io/get,52,0,23
1728676068633,55,HTTP Request,200,OK,Thread Group 1-3,text,true,,481,115,1,1,http://httpbin.io/get,55,0,26
1728676069130,56,HTTP Request,200,OK,Thread Group 1-4,text,true,,481,115,1,1,http://httpbin.io/get,56,0,27
1728676069641,50,HTTP Request,200,OK,Thread Group 1-5,text,true,,481,115,1,1,http://httpbin.io/get,50,0,19
1728676070131,49,HTTP Request,200,OK,Thread Group 1-6,text,true,,481,115,1,1,http://httpbin.io/get,49,0,20
1728676070630,52,HTTP Request,200,OK,Thread Group 1-7,text,true,,481,115,1,1,http://httpbin.io/get,52,0,24
1728676071130,54,HTTP Request,200,OK,Thread Group 1-8,text,true,,481,115,1,1,http://httpbin.io/get,54,0,25
1728676071632,54,HTTP Request,200,OK,Thread Group 1-9,text,true,,481,115,1,1,http://httpbin.io/get,54,0,25
1728676072133,55,HTTP Request,200,OK,Thread Group 1-10,text,true,,481,115,1,1,http://httpbin.io/get,55,0,26
